Country,EdLevel,YearsCodePro,Salary
51,0,8.0,162000.0
50,1,10.0,175895.0
51,1,2.0,115000.0
31,0,2.0,66371.0
51,2,12.0,250000.0
51,0,6.0,160000.0
20,0,2.0,28374.0
51,0,12.0,160000.0
50,0,16.0,125639.0
50,0,3.0,55910.0
51,1,13.0,88000.0
37,0,2.0,72480.0
29,1,6.0,31993.0
35,2,9.0,69372.0
11,0,12.0,57156.0
50,1,20.0,87948.0
12,2,27.0,111840.0
32,1,5.0,11244.0
51,3,20.0,134000.0
17,0,4.0,60040.0
51,1,6.0,175000.0
12,0,8.0,77688.0
16,2,4.0,38392.0
39,2,13.0,43584.0
16,2,1.0,49056.0
7,0,4.0,200000.0
50,0,10.0,138203.0
51,0,4.0,150000.0
51,0,8.0,147000.0
51,1,10.0,165000.0
25,1,12.0,36259.0
20,2,6.0,24118.0
51,0,8.0,140000.0
51,0,7.0,116000.0
51,0,10.0,155000.0
51,0,16.0,175000.0
51,1,3.0,135000.0
51,0,2.0,140000.0
45,1,10.0,75576.0
51,0,4.0,61000.0
51,0,24.0,178000.0
50,2,7.0,125639.0
51,3,10.0,160000.0
51,0,2.0,89000.0
51,0,13.0,185000.0
50,0,16.0,100511.0
51,0,3.0,90000.0
16,2,2.0,30713.0
51,1,7.0,62500.0
51,0,3.0,105000.0
40,0,1.0,39276.0
50,0,9.0,182177.0
51,2,11.0,180000.0
31,0,3.0,67409.0
